src,jpHanzi,info,
メダル,奨章,奖章,
ブースト,提昇,提升,
シンクロ,同歩,同步,
ターミナル,終端,终端,
ストーン,石,,
オベリスク,方尖碑,,
スギナミ,杉並,杉并,
ナカノ,中野,,
シブヤ,渋谷,涉谷,
イチガヤ,市ケ谷,市谷,
シンジュク,新宿,,
イケブクロ,池袋,,
新宿バベル,新宿巴别塔,,
以下の効果を得るパッシブスキル,獲得以下効果的被動技能,,
パッシブ,被動,passive,
スキル,技能,skill,
チュートリアル,教程,tutorial,
リミット,Limit,,
ブレイク,Break,,
ダメージ,傷害,damage,
コスト,消耗,cost,
クールタイム,冷却時間,cool time,
全ての,全部,,
プラス効果,有利効果,プラス:plus,
マイナス効果,不利効果,マイナス:minus,
なし,無,,
になる,転変,become,
マスタリー,精通,mastery,
アタック,普撃,attack,
ショット,普射,shot,
ラッシュ,突撃,rush,
スピン,広撃,spin,
ラピッド,連射,rapid,
ダウン,減少,down, 
アップ,提高,up,
ネゴシエーション,交渉,,
デジタライズ,数字化,,
シンパシー,共鳴,,
パーティメンバー,隊伍成員,,
スイッチ,切換,switch,
バッド,異常,bad,
ステータス,状態,status,
デバッグ,調試,debug,
テトラ,四面,テトラ【ギリシアtetra】 数の四。また、正四面体。,
カウンター,反撃,counter,
クロック,時計,clock,
フル,満,full,
エボルヴ,進化,evolved,
テクニカル,技巧,technical,
アディショナル,付加,Additional,
クイックネス,敏捷,quickness,
マジックブレイク,魔力爆発,magic break,
マジック,魔力,magic,
マグネタイト,磁鉄鉱,,
ソウルポイント,魂点,soul point,
スタン,気絶,昏厥,
シリーズ,系列,,
クリティカル,暴击,critical,
ダッジ,闪避,dodge,
ガード,守備,guard,
ゲーム,遊戯,game,
下り,下降,,
ボイススポット,语音现场,voice spot,
エレベーター,昇降機,elevator,
プログラム,程序,program,
コンパネ,控制面板,companion panel,
ハシゴ,梯子,Ladder,
スタート,開始,start,
ボス,首领,boss,
キューブ,立方体,cube,
ステップ,段階,step,
おまけ,賞品,bonus,
プラズマ,等离子区,plasma,
モノリス,独石柱,monolith,
ウエノ,上野,ueno,
オブジェクト,物体,object,
シブヤ,渋谷,,
ゲート,門,gate,
ドア,扉,door,
バージョン,版本,version,
