一分の活泉,一分の活泉
獲得以下効果的被動技能。\n\n・最大ＨＰ+10%,獲得以下効果的被動技能。\n\n・最大ＨＰ+10%
二分の活泉,二分の活泉
獲得以下効果的被動技能。\n\n・最大ＨＰ+20%,獲得以下効果的被動技能。\n\n・最大ＨＰ+20%
三分の活泉,三分の活泉
獲得以下効果的被動技能。\n\n・最大ＨＰ+40%,獲得以下効果的被動技能。\n\n・最大ＨＰ+40%
会心１,会心１
獲得以下効果的被動技能。\n\n・必殺発生+150,獲得以下効果的被動技能。\n\n・必殺発生+150
息吹の具足,息吹の具足
獲得以下効果的被動技能。\n\n・ＨＰ自然回復量+2,獲得以下効果的被動技能。\n\n・ＨＰ自然回復量+2
斬りかかり,斬りかかり
爪や武器で斬り付ける特殊スキル。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,爪や武器で斬り付ける特殊技能。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理傷害を与える。
突き刺し,突き刺し
渾身の突きを見舞う特殊スキル。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,渾身の突きを見舞う特殊技能。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理傷害を与える。
殴り,殴り
拳や武器で打ち据える特殊スキル。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,拳や武器で打ち据える特殊技能。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理傷害を与える。
二段蹴り,二段蹴り
素早い蹴り連打による空中殺法を放つ特技。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,素早い蹴り連打による空中殺法を放つ特技。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理傷害を与える。
ついばみ,ついばみ
餌をついばむかのような\nクチバシ連打を行う特技。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,餌をついばむかのような\nクチバシ連打を行う特技。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理傷害を与える。
二段斬り,二段斬り
流れるように連続で斬り付ける特殊スキル。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,流れるように連続で斬り付ける特殊技能。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理傷害を与える。
獣の爪,獣の爪
鋭い爪で素早く切り裂く特殊スキル。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,鋭い爪で素早く切り裂く特殊技能。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理傷害を与える。
猛る牙,猛る牙
鋭い牙で何度も噛み付く特殊スキル。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,鋭い牙で何度も噛み付く特殊技能。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理傷害を与える。
タックル,タックル
全身で体当たりを敢行する特殊スキル。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,全身で体当たりを敢行する特殊技能。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理傷害を与える。
テイルウィップ,テイルウィップ
鞭のようにしなる部位で\n敵を打つ特殊スキル。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,鞭のようにしなる部位で\n敵を打つ特殊技能。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理傷害を与える。
殴り（チュートリアル用）,殴り（チュートリアル用）
拳や武器で打ち据え、敵一体に\n打撃相性のダメージを与える通常攻撃。,拳や武器で打ち据え、敵一体に\n打撃相性の傷害を与える通常攻撃。
エイトエンド,エイトエンド
蹴りの８連打を浴びせつける\n空中殺法を放つ特殊スキル。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,蹴りの８連打を浴びせつける\n空中殺法を放つ特殊技能。\n\n敵1体に対して、\n近接攻撃力に依存した\n物理傷害を与える。
零距離放電,零距離放電
ミョルニルに電撃を大量に内包させ、\n直接叩き込み、放電する荒業。\n敵一体に電撃相性のダメージ\n＆感電を与える通常攻撃。,ミョルニルに電撃を大量に内包させ、\n直接叩き込み、放電する荒業。\n敵一体に電撃相性の傷害\n＆感電を与える通常攻撃。
ヴァジュラの裁き,ヴァジュラの裁き
レーヴァテインの薙ぎ,レーヴァテインの薙ぎ
草薙剣の煌き,草薙剣の煌き
マシンガン,マシンガン
特殊打撃,特殊打撃
特殊斬撃,特殊斬撃
無情剣,無情剣
爪や武器で斬り付け、敵一体に\n破魔相性のダメージを与える通常攻撃。,爪や武器で斬り付け、敵一体に\n破魔相性の傷害を与える通常攻撃。
不浄剣,不浄剣
爪や武器で斬り付け、敵一体に\n呪殺相性のダメージを与える通常攻撃。,爪や武器で斬り付け、敵一体に\n呪殺相性の傷害を与える通常攻撃。
秘孔拳・砕,秘孔拳・砕
人体に１０８箇所存在する『秘孔』を\n突き、神経相性ダメージと共に、何らかの\n状態変化を与える技。,人体に１０８箇所存在する『秘孔』を\n突き、神経相性傷害と共に、何らかの\n状態変化を与える技。
秘孔拳・破,秘孔拳・破
豪傑の一振り,豪傑の一振り
近接による攻撃がアップする\nパッシブスキル。,近接による攻撃が提高する\n被動技能。
破壊の一振り,破壊の一振り
満月高揚,満月高揚
満月のときに、攻撃がアップする\nパッシブスキル。,満月のときに、攻撃が提高する\n被動技能。
新月高揚,新月高揚
新月のときに、攻撃がアップする\nパッシブスキル。,新月のときに、攻撃が提高する\n被動技能。
会心２,会心２
獲得以下効果的被動技能。\n\n・必殺発生+200,獲得以下効果的被動技能。\n\n・必殺発生+200
会心３,会心３
獲得以下効果的被動技能。\n\n・必殺発生+250,獲得以下効果的被動技能。\n\n・必殺発生+250
オーバーキラー１,超量殺手１
獲得以下効果的被動技能。\n\n・リミットブレイク発生+10%\n・リミットブレイク威力+10%\n・必殺発生+10,獲得以下効果的被動技能。\n\n・LimitBreak発生+10%\n・LimitBreak威力+10%\n・必殺発生+10
オーバーキラー２,超量殺手２
獲得以下効果的被動技能。\n\n・リミットブレイク発生+20%\n・リミットブレイク威力+20%\n・必殺発生+20,獲得以下効果的被動技能。\n\n・LimitBreak発生+20%\n・LimitBreak威力+20%\n・必殺発生+20
オーバーキラー３,超量殺手３
獲得以下効果的被動技能。\n\n・リミットブレイク発生+30%\n・リミットブレイク威力+30%\n・必殺発生+30,獲得以下効果的被動技能。\n\n・LimitBreak発生+30%\n・LimitBreak威力+30%\n・必殺発生+30
ひっかき,ひっかき
鋭い爪で引っかく特技。\n\n使用者の前面にいる敵に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,鋭い爪で引っかく特技。\n\n使用者の前面にいる敵に対して、\n近接攻撃力に依存した\n物理傷害を与える。
毒ひっかき,毒ひっかき
毒気を帯びた爪で引っかく特技。\n\n使用者の前面にいる敵に対して、\n近接攻撃力に依存した\n物理ダメージを与える。\n\n更に、高確率で対象に18～24秒間、\n猛毒の状態変化を付与する。,毒気を帯びた爪で引っかく特技。\n\n使用者の前面にいる敵に対して、\n近接攻撃力に依存した\n物理傷害を与える。\n\n更に、高確率で対象に18～24秒間、\n猛毒の状態変化を付与する。
アイアンクロウ,アイアンクロウ
鋼鉄の如き鋭い爪を振り回す特技。\n\n使用者の前面にいる敵に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,鋼鉄の如き鋭い爪を振り回す特技。\n\n使用者の前面にいる敵に対して、\n近接攻撃力に依存した\n物理傷害を与える。
暴れまくり,暴れまくり
激昂と共に突撃し、\n暴虐の限りを尽くす特技。\n\n使用者の前面にいる敵に対して、\n近接攻撃力に依存した\n物理ダメージを与える。,激昂と共に突撃し、\n暴虐の限りを尽くす特技。\n\n使用者の前面にいる敵に対して、\n近接攻撃力に依存した\n物理傷害を与える。
鬼神薙ぎ,鬼神薙ぎ
