サタン,撒旦
メタトロン,梅塔特隆
セラフ,撒拉弗
ミカエル,米迦勒
ガブリエル,加百列
ラファエル,拉斐爾
ウリエル,尤利爾
アリラト,威靈
アルビオン,阿爾比恩
ユリゼン,尤里森
サーマス,薩默斯
アーソナ,阿索納
ルヴァ,露瓦
ブラックマリア,黑瑪利亞
ブラフマン,婆羅門
ヴィシュヌ,毘湿奴
ミトラ,密特拉
バアル,巴力
オーディン,奥汀
アタバク,大元帥明王
トール,托爾
ホルス,荷魯斯
インドラ,因陀羅
トート,圖特
セト,賽特
ニャルラトホテプ,奈亞拉托提普
マダ,摩陀
サマエル,薩麦爾
トウテツ,饕餮
パズス,巴祖祖
テスカトリポカ,特斯KA特利波KA
バフォメット,巴風特
ミシャグジさま,御社宮司神
ガルーダ,迦楼羅
ヤタガラス,八咫烏
スパルナ,金翅鳥
スザク,朱雀
フェニックス,不死鳥
ジャターユ,佳塔由
ホウオウ,鳳凰
アナト,阿娜特
ノルン,諾倫
ラクシュミ,吉祥天
パラスアテナ,巴拉斯雅典娜
スカアハ,斯KA哈
サティ,薩蒂
フレイア,芙蕾雅
サラスヴァティ,妙音天女
アメノウズメ,天鈿女命
ハトホル,哈索爾
フォルトゥナ,福圖娜
アマテラス,天照
ツクヨミ,月読
タケミカヅチ,建御雷神
ヒノカグツチ,火之迦具土
オモイカネ,思兼神
ＤＢ キスギ,ＤＢ 来生
タヂカラオ,手力男
フレスベルグ,弗雷斯貝爾古
アンズー,安祖
カマソッソ,KA瑪索茨
グルル,格魯魯
フリアイ,弗里亞
チン,鴆
オンモラキ,陰魔羅鬼
ソロネ,座天使
ドミニオン,主天使
ヴァーチャー,力天使
パワー,能天使
プリンシパリティ,權天使
アークエンジェル,大天使
エンジェル,天使
オセ・ハレル,奥賽・哈雷爾
フラロウス・ハレル,佛勞洛斯・哈雷爾
ヘカトンケイル,百臂巨人
ギリメカラ,基力梅KA拉
エキンム,埃提姆
サイクロプス,独眼巨人
ラクシャーサ,羅刹
オーガ,奥爾加
モリーアン,莫瑞甘
バイブ・カハ,芭一波・KA赫
アエロー,厄洛
ケライノー,克莱諾
オキュペテー,俄庫珀特
マッハ,瑪哈
ハーピー,哈比
ガネーシャ,象頭神
イフリート,伊夫利特
プルキシ,菩吉湿
ジン,精靈
オンコット,鴦伽陀
ディース,狄絲
イソラ,磯良
アプサラス,飛天
キンナリー,緊那羅
ゴグマゴグ,歌革瑪各
ティターン,泰坦
サルタヒコ,猿田彦
ウベルリ,優派爾烏里
ドワーフ,矮人
ブッカブー,布KA卜
スダマ,山靈
ノッカー,諾克
カハク,花魄
コダマ,木靈
Ｒ０７シリウス,Ｒ０７天狼星
Ｆ０７Ａアークトゥルス,Ｆ０７Ａ大角星
Ｆ０７Ｓアルデバラン,Ｆ０７Ｓ畢宿五
Ｆ０７Ｈヴェガ,Ｆ０７Ｈ維加
Ｆ０７Ｇフォーマルハウト,Ｆ０７Ｇ北落師門
モー・ショボー,莫・索保
モト,莫特
ホクトセイクン,北斗星君
ゲーデ,盖迪
チェルノボグ,切爾諾伯格
ペルセポネー,普西芬尼
ヘル,地獄
スレイプニル,斯雷普尼爾
