第三ホーム,第三居所,
ホームポイント,居住地点,
ターミナル前,終端前,
ヴァーチャルバトル前,虚拟战斗前,
コミュニティエリア内（バザーエリア）,社群区域内（集市区域）,
新宿バベル,新宿巴别塔,
エレベーターガール前,昇降機女孩前,
北ターミナル前,北終端前,
南ターミナル前,南終端前,
聖都アルカディア,聖都阿卡迪亚,
カテドラル正面,大聖堂正面,
中立都市プロトピア,中立都市普罗托比亚,
マダムの執務室前,女主人の執務室前,
カジノ　ゴールデンアーク前,賭場 黄金島前,
魔階ダンジョン,魔階地城,
スギナミ魔階坑道,杉並魔階坑道,
魔階ナカノ地下遺構,魔階中野地下遺構,
魔階シブヤクォーツ,魔階渋谷石英宫,
魔階セルタワー,魔階能源塔,
旧イチガヤ駐屯地,旧市谷駐屯地,
魔階カグラザカ朱雀洞,魔階神楽坂朱雀洞,
魔階シナガワ神殿騎士廟,魔階品川神殿騎士廟,
魔階ウエノ砂幻陵,魔階上野砂幻陵,
その他ダンジョン,其他地城,
電子回廊　第三ホーム搬入口前,電子回廊　第三居所搬入口前,
旧・帝都地下鉄オギクボ駅,旧・帝都地下鉄荻久保駅,
旧・帝都地下鉄シブヤ駅,旧・帝都地下鉄渋谷駅,
魔階トチョウ　石板前,魔階都庁　石板前,
シンジュクアンダーワンダーグラウンド,新宿地下世界,
ナカノ茫漠領域,中野茫漠領域,
ホンゴウ　イチガヤ入場木箱前,本江　市谷入場木箱前,
ホンゴウ　ウエノ入場木箱前,本江　上野入場木箱前,
東シナガワ大氷穴,東品川大氷穴,
魔界の歪み,,
第二ホーム　シナガワ水路ルート入口,第二居所　品川水路路経入口,
第二ホーム　シブヤ地下道ルート入口,第二居所　渋谷地下道路経入口,
第二ホーム　イチガヤ遺跡ルート入口,第二居所　市谷遺跡路経入口,
ナカノの野営地,中野の野営地,
異界新宿バベル,異界新宿巴别塔,
シークレットルーム 第三ホーム入口,機密房间 第三居所入口,
シークレットルーム 新宿バベル入口,機密房间 新宿巴别塔入口,
ディアスポラ,移民社群,
【スギナミ】ゴモリー前,【杉並】ゴモリー前,
【シナガワ】ゴモリー前,【品川】ゴモリー前,
スギナミフィールド,杉並原野,
【第三ホーム野営地】山羊屋前,【第三居所野営地】山羊屋前,
ジャンカーマン前,瘾君子前,
ナカノフィールド,中野原野,
ヤギヌマ前,柳沼前,
オベリスク前,方尖碑前,
シブヤフィールド,渋谷原野,
【ハチ公前】山羊屋前,【八公前】山羊屋前,
シンジュクフィールド,新宿原野,
ゴモリー前,戈莫莉前,
イチガヤフィールド,市谷原野,
シナガワフィールド,品川原野,
ウエノフィールド,上野原野,
キサラギ前,如月前,
イケブクロフィールド,池袋原野,
【東地区】賭博師キノ前,【東地区】賭博師木野前,
【東地区】大業のドワーフ前（西）,【東地区】大業の矮人前（西）,
【東地区】大業のドワーフ前（東）,【東地区】大業の矮人前（東）,
【南地区】ゾウシガヤ霊園前,【南地区】杂司谷霊園前,
【南地区】ゾウシガヤ霊園裏門前,【南地区】杂司谷霊園裏門前,
【ゾウシガヤ霊園】血の桜,【杂司谷霊園】血の桜,
デバッグ用,調試用,
※【デバッグ】第三ホーム　初心者エリア,※【調試】第三居所　初心者区域,
※【デバッグ】シンジュクバベル居住区,※【調試】新宿巴别塔居住区,
※【デバッグ】ヴァーチャルビーチ,※【調試】虚拟海滩,
※【デバッグ】イケブクロ南　パンクス前,※【調試】池袋南　朋克族前,
※【デバッグ】邪教の館　イケブクロ東地区,※【調試】邪教の館　池袋東地区,
※【デバッグ】華梟城　クラブ蓬莱,※【調試】華梟城　俱乐部蓬莱,
※【デバッグ】カテドラルMMOロビー（仮）,※【調試】大聖堂MMO大厅（仮）,
※【デバッグ】カテドラルA層（仮）,※【調試】大聖堂A層（仮）,
※【デバッグ】カテドラルB層（仮）,※【調試】大聖堂B層（仮）,
※【デバッグ】カテドラルボス前（仮）,※【調試】大聖堂首领前（仮）,
※【デバッグ】2015ハロウィン,※【調試】2015万圣夜,
※【デバッグ】デバッグルーム,※【調試】調試房间,
