ヴァーチャルバトル,虚拟战斗,
第三ホーム,第三居所,
第三ホーム搬入口,第三居所搬入口,
袴田ウエポンショップ,袴田武器商店,
クリニック　アヤ,診療所　阿雅,
カジュアルショップ,便利店,
コミュニティエリア（第三ホーム）,社群区域（第三居所）,
ラグの店,鲁格の店,
パーティ会場,队伍会場,
スギナミ,杉並,
スギナミ魔階坑道,杉並魔階坑道,
ナカノ,中野,
GvGtest版ナカノ,GvGtest版中野,
ナカノの森,中野の森,
魔階ナカノ地下遺構,魔階中野地下遺構,
ナカノ茫漠領域,中野茫漠領域,
新宿バベル,新宿巴别塔,
タニーウェポンショップ,塔尼武器商店,
コミュニティエリア（新宿バベル）,社群区域（新宿巴别塔）,
地底の誘い,,
雄々しき唸り,,
奥の神棚,,
畏敬の武,,
白い彫刻,,
荘厳なる玉座,,
美しき洞窟,,
煌く玩具箱,,
イベントルーム,事件房间,
シンジュクドック,新宿船坞,
シンジュクドック制御室,新宿船坞制御室,
テストルーム,测试房间,
シブヤ,渋谷,
魔階セルタワー,魔階能源塔,
魔階シブヤクォーツ,魔階渋谷石英宫,
第二ホーム,第二居所,
イチガヤ,市谷,
旧イチガヤ駐屯地,旧市谷駐屯地,
魔階カグラザカ朱雀洞,魔階神楽坂朱雀洞,
シナガワ,品川,
魔階シナガワ神殿騎士廟,魔階品川神殿騎士廟,
東シナガワ大氷穴,東品川大氷穴,
聖都アルカディア,聖都阿卡迪亚,
カノンウェポンショップ,卡农武器商店,
ブティック スカルノ,时装店 苏加诺,
メディカルセンター,医疗中心,
品川ＣＵＲＩＯＵＳ,,
カテドラル,大聖堂,
ウエノ,上野,
魔階ウエノ砂幻陵,魔階上野砂幻陵,
中立都市プロトピア,中立都市普罗托比亚,
アズラの部屋,亚兹拉の部屋,
マダムの執務室,女主人の執務室,
シンジュク,新宿,
魔階トチョウ,魔階都庁,
旧・帝都地下鉄 オギクボ駅,旧・帝都地下鉄 荻久保駅,
旧・帝都地下鉄 シブヤ駅,旧・帝都地下鉄 渋谷駅,
新宿バベル居住区,新宿巴别塔居住区,
居住区の一室,,
イケブクロ南地区,池袋南地区,
イケブクロ東地区,池袋東地区,
ヴァーチャルビーチ・南国（昼）,虚拟海滩・南国（昼）,
ヴァーチャルビーチ・南国（夕）,虚拟海滩・南国（夕）,
ヴァーチャルビーチ・南国（夜）,虚拟海滩・南国（夜）,
ゴールデンアーク　カジノフロア,黄金島　賭場楼层,
ゴールデンアーク　闘技場ロビー,黄金島　闘技場大厅,
ゴールデンアーク　闘技場エリア,黄金島　闘技場区域,
ゴールデンアーク　闘技場２,黄金島　闘技場２,
ゴールデンアーク　闘技場３,黄金島　闘技場３,
クラブ蓬莱,俱乐部蓬莱,
ゴールデンアーク　ＶＩＰルーム,黄金島　ＶＩＰ房间,
Ceremony Hall,,
キングフロストの森,霜精之王の森,
異界新宿バベル,異界新宿巴别塔,
裏富士見ミッドガルド,裏富士見米德加德,
トリアナＴＯＫＹＯ,特兰拉娜ＴＯＫＹＯ,
ヨドバシアンダーグラウンド,横滨市立球场,
森のクリスマスパーティ会場,森の圣诞派对会場,
ハロウィンパーティ,万圣节派对,
ゾウシガヤ霊園,杂司谷霊園,
血の桜,血の桜,
ナカノの野営地,中野の野営地,
カテドラル　上層,大聖堂　上層,
カテドラル　下層,大聖堂　下層,
コミュニティエリア（バザー）,社群区域（市集）,
旧イチガヤ駐屯地Ｂ１２Ｆ,旧市谷駐屯地Ｂ１２Ｆ,
旧イチガヤ駐屯地Ｂ１３Ｆ,旧市谷駐屯地Ｂ１３Ｆ,
旧イチガヤ駐屯地Ｂ１４Ｆ,旧市谷駐屯地Ｂ１４Ｆ,
旧イチガヤ駐屯地Ｂ１５Ｆ,旧市谷駐屯地Ｂ１５Ｆ,
旧イチガヤ駐屯地Ｂ１６Ｆ,旧市谷駐屯地Ｂ１６Ｆ,
旧イチガヤ駐屯地Ｂ１７Ｆ,旧市谷駐屯地Ｂ１７Ｆ,
